path,mean_fft,std_fft,maxv_fft,minv_fft,median_fft,skew_fft,kurt_fft,q1_fft,q3_fft,mode_fft,iqr_fft,source,class
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bar_fear.wav,-1.3419936657894399e-05,0.28867513449083515,0.4999731601266842,-0.5,-1.3419936657898974e-05,-2.6805247245674536e-16,-1.2000000017289096,-0.2500067099683289,0.24997987009501316,-0.5,0.49998658006334207,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_gaze_fear.wav,-1.3469827586202302e-05,0.2886751344900606,0.4999730603448276,-0.5,-1.3469827586206896e-05,9.200381828488784e-17,-1.2000000017417884,-0.2500067349137931,0.24997979525862069,-0.5,0.4999865301724138,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_near_fear.wav,-3.668382360092157e-18,0.28867513444453047,0.49998386628375985,-0.49998386628375985,0.0,-4.527100055424531e-17,-1.200000002498849,-0.2499919331418799,0.2499919331418799,-0.49998386628375985,0.4999838662837598,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_beg_fear.wav,-1.3630663540679467e-05,0.28867513448754406,0.4999727386729186,-0.5,-1.3630663540701161e-05,-3.839844365335647e-16,-1.2000000017836314,-0.2500068153317703,0.24997955400468896,-0.5,0.4999863693364593,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_soap_fear.wav,9.043099911569616e-18,0.28867513449333976,0.4999867426753281,-0.4999867426753281,0.0,3.8178827020614066e-17,-1.2000000016872638,-0.24999337133766403,0.24999337133766403,-0.4999867426753281,0.49998674267532806,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bone_fear.wav,-1.634948662611994e-05,0.28867513444048387,0.49996730102674775,-0.5,-1.634948662611994e-05,-1.617748481937885e-16,-1.2000000025661355,-0.25000817474331305,0.2499754757700608,-0.5,0.49998365051337385,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_room_fear.wav,-1.4300423292535961e-05,0.2886751344767436,0.499971399153415,-0.5,-1.430042329252946e-05,4.8706548368346197e-17,-1.2000000019632209,-0.25000715021164627,0.24997854936506123,-0.5,0.49998569957670747,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_wheat_fear.wav,3.772334264247139e-18,0.28867513443589266,0.49998340909845046,-0.49998340909845046,0.0,-5.635466859405008e-17,-1.2000000026424773,-0.24999170454922523,0.24999170454922523,-0.49998340909845046,0.49998340909845046,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_time_fear.wav,-6.11967995359722e-19,0.2886751344652798,0.4999850214193703,-0.4999850214193703,0.0,6.779871399829114e-17,-1.200000002153836,-0.24999251070968515,0.24999251070968515,-0.4999850214193703,0.4999850214193703,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_jug_fear.wav,-1.9755426955572133e-17,0.28867513450586496,0.4999875878162004,-0.4999875878162004,0.0,1.8330751737801615e-18,-1.200000001478998,-0.2499937939081002,0.2499937939081002,-0.4999875878162004,0.4999875878162004,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_mood_fear.wav,-1.634948662611994e-05,0.28867513444048387,0.49996730102674775,-0.5,-1.634948662611994e-05,-1.617748481937885e-16,-1.2000000025661355,-0.25000817474331305,0.2499754757700608,-0.5,0.49998365051337385,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_mouse_fear.wav,6.46774784364193e-18,0.288675134478023,0.49998577727208077,-0.49998577727208077,0.0,8.490464188386561e-17,-1.2000000019419446,-0.24999288863604038,0.24999288863604038,-0.49998577727208077,0.49998577727208077,TESS,fear
